origin,destination,search_date,departure_date,days_ahead,price
SSA,NAT,2025-01-28,2025-04-25,87,320.7
BSB,VCP,2025-05-23,2025-08-18,87,274.87
SSA,VCP,2025-01-03,2025-03-22,78,588.76
FOR,CGB,2025-01-16,2025-03-04,47,655.36
GRU,CGB,2025-06-01,2025-08-17,77,1070.3
GRU,NAT,2024-12-18,2025-01-08,21,447.01
REC,POA,2024-12-27,2025-03-01,64,897.42
REC,BSB,2025-03-21,2025-06-01,72,327.67
POA,BEL,2025-05-31,2025-07-11,41,490.71
CGB,SSA,2024-11-02,2025-01-14,73,597.89
GIG,CWB,2024-12-22,2025-01-07,16,569.19
GIG,BSB,2024-12-24,2025-03-14,80,826.15
FLN,GRU,2024-09-10,2024-11-06,57,847.9
GRU,FOR,2025-07-16,2025-09-11,57,818.58
FLN,VCP,2025-07-22,2025-09-25,65,566.11
CWB,NAT,2025-03-26,2025-03-31,5,1037.71
FLN,GIG,2024-09-30,2024-12-01,62,477.24
POA,GRU,2025-06-21,2025-07-22,31,496.65
FOR,SDU,2025-06-08,2025-08-29,82,884.95
POA,FOR,2025-02-23,2025-03-19,24,496.28
BEL,CWB,2024-12-05,2024-12-14,9,587.0
POA,CGH,2025-04-16,2025-06-22,67,579.35
SSA,GIG,2024-10-25,2024-11-03,9,1207.23
CWB,GRU,2024-11-12,2024-12-13,31,566.27
GRU,FOR,2024-12-04,2025-01-20,47,718.56
SSA,SDU,2024-12-26,2025-02-21,57,366.28
CGH,REC,2024-12-17,2025-01-25,39,586.77
VCP,BSB,2025-04-07,2025-06-06,60,772.18
NAT,CGH,2025-02-27,2025-04-10,42,276.51
CWB,GRU,2024-12-01,2024-12-28,27,741.81
SDU,POA,2025-06-08,2025-07-15,37,1140.15
FLN,CWB,2025-08-06,2025-08-21,15,572.08
VCP,REC,2025-07-17,2025-07-31,14,857.22
SSA,REC,2024-11-09,2025-01-23,75,926.39
FLN,FOR,2025-04-20,2025-06-28,69,807.15
REC,CGB,2025-04-08,2025-04-17,9,371.85
BSB,FLN,2025-05-24,2025-07-16,53,676.86
GIG,CWB,2024-11-26,2024-12-09,13,1077.27
CGH,BEL,2025-06-01,2025-07-14,43,266.01
NAT,BSB,2025-03-29,2025-05-05,37,829.24
CGH,POA,2025-04-08,2025-05-30,52,464.8
REC,CGH,2024-11-04,2024-11-06,2,1126.71
NAT,VCP,2025-03-25,2025-05-08,44,243.49
FOR,POA,2025-06-15,2025-08-17,63,573.65
CWB,FLN,2025-01-17,2025-01-27,10,405.21
SDU,CGB,2025-05-07,2025-07-03,57,416.82
VCP,GRU,2025-06-04,2025-08-22,79,1184.01
CWB,CGB,2024-12-12,2025-03-07,85,723.93
SDU,POA,2025-01-12,2025-03-27,74,474.48
POA,FLN,2025-07-07,2025-07-08,1,954.36
POA,GIG,2024-10-05,2025-01-01,88,233.31
CGB,NAT,2024-09-21,2024-10-12,21,830.22
REC,CGH,2024-12-20,2024-12-27,7,417.79
SSA,FLN,2025-05-03,2025-06-28,56,677.66
VCP,BEL,2025-01-19,2025-03-22,62,645.02
NAT,REC,2025-01-05,2025-02-04,30,615.21
BSB,POA,2025-04-24,2025-04-30,6,824.46
NAT,BSB,2025-07-21,2025-09-25,66,273.62
GRU,CWB,2024-12-20,2025-03-09,79,509.9
SDU,CWB,2025-01-23,2025-02-14,22,315.94
POA,CGH,2025-07-08,2025-08-25,48,1081.83
BEL,CGH,2024-12-20,2025-03-13,83,511.02
GIG,CWB,2025-01-12,2025-03-25,72,1100.78
FOR,POA,2025-07-23,2025-10-13,82,317.28
GIG,FOR,2025-08-04,2025-08-31,27,715.77
BEL,SSA,2025-04-18,2025-05-17,29,346.35
FLN,VCP,2025-03-16,2025-04-01,16,394.14
BEL,REC,2025-02-11,2025-02-21,10,762.69
BSB,VCP,2025-03-04,2025-04-24,51,810.97
REC,VCP,2025-02-15,2025-04-24,68,260.2
FLN,FOR,2025-04-12,2025-06-12,61,646.43
FLN,GRU,2025-01-23,2025-01-27,4,489.2
SSA,FOR,2025-04-08,2025-06-19,72,748.79
BEL,VCP,2025-01-17,2025-03-30,72,752.07
CGB,BEL,2025-03-31,2025-05-17,47,508.31
GRU,SSA,2025-07-23,2025-10-11,80,627.71
BSB,FLN,2025-08-18,2025-08-24,6,918.6
VCP,BEL,2025-03-02,2025-05-10,69,741.49
GRU,SSA,2025-07-10,2025-07-15,5,1186.02
SDU,SSA,2024-12-11,2025-01-11,31,891.94
VCP,POA,2025-02-25,2025-05-03,67,324.79
REC,CGB,2025-01-28,2025-02-11,14,462.25
CGB,BSB,2025-07-24,2025-07-31,7,456.95
FLN,CGB,2025-08-16,2025-09-04,19,538.17
FLN,BSB,2025-09-03,2025-11-18,76,874.4
REC,CGB,2024-11-12,2025-01-09,58,368.52
CGB,FOR,2025-02-10,2025-03-11,29,1089.9
POA,FOR,2024-12-24,2025-03-01,67,718.77
SDU,GRU,2025-03-08,2025-05-15,68,389.59
BSB,CWB,2025-07-04,2025-09-24,82,366.97
BEL,GRU,2024-12-20,2025-02-11,53,1052.81
FOR,GRU,2025-06-15,2025-07-16,31,215.1
BEL,REC,2024-09-18,2024-12-11,84,731.97
VCP,FLN,2025-04-06,2025-07-05,90,608.84
GIG,BSB,2025-01-17,2025-02-03,17,864.99
SDU,GRU,2024-09-23,2024-10-04,11,822.88
NAT,GRU,2024-10-19,2024-11-29,41,632.9
NAT,VCP,2024-12-26,2025-02-18,54,929.1
CGB,FLN,2024-09-18,2024-12-08,81,632.59
SSA,CGH,2024-10-22,2024-12-27,66,474.36
VCP,GIG,2024-11-16,2025-01-14,59,868.73
REC,GIG,2025-05-23,2025-08-06,75,619.13
BEL,NAT,2025-03-17,2025-04-14,28,684.71
POA,SSA,2024-11-14,2025-01-15,62,267.92
BSB,CGB,2025-06-22,2025-07-27,35,289.16
SDU,SSA,2024-12-30,2025-02-09,41,529.77
REC,POA,2024-09-19,2024-12-06,78,914.59
SSA,GRU,2025-04-29,2025-05-22,23,689.63
BEL,CGH,2025-01-27,2025-01-31,4,880.24
BEL,BSB,2024-11-15,2024-12-14,29,1016.13
GIG,CGH,2025-03-09,2025-04-06,28,362.12
SDU,POA,2025-04-19,2025-05-21,32,1175.04
BSB,REC,2025-04-20,2025-07-15,86,1062.27
BEL,CGH,2024-12-03,2024-12-06,3,848.15
REC,GRU,2024-09-14,2024-11-26,73,216.2
BEL,GIG,2024-10-09,2024-11-09,31,895.61
CGB,VCP,2024-12-10,2025-01-14,35,712.21
GIG,NAT,2025-08-17,2025-09-11,25,595.15
REC,CGH,2025-08-17,2025-10-30,74,877.19
REC,CGH,2025-07-20,2025-09-26,68,729.6
FOR,POA,2024-11-12,2025-01-28,77,713.5
CGH,NAT,2025-05-16,2025-06-11,26,682.79
NAT,REC,2025-08-26,2025-09-24,29,832.91
GRU,FLN,2025-02-18,2025-04-17,58,315.76
NAT,REC,2025-02-22,2025-04-30,67,640.22
SSA,BSB,2025-07-19,2025-07-27,8,864.41
REC,SSA,2025-05-28,2025-08-26,90,590.67
REC,POA,2024-11-06,2024-12-04,28,775.67
VCP,CGH,2025-02-10,2025-04-17,66,321.5
NAT,GRU,2025-01-03,2025-02-24,52,417.72
CGB,VCP,2025-08-12,2025-09-04,23,536.74
GRU,SSA,2025-08-26,2025-09-06,11,941.47
GIG,FOR,2025-06-14,2025-07-12,28,604.21
BSB,VCP,2025-02-17,2025-03-04,15,715.35
FLN,SDU,2025-04-20,2025-05-09,19,559.96
BSB,VCP,2025-07-14,2025-07-19,5,319.02
CGB,BEL,2024-12-31,2025-02-21,52,719.67
BEL,FOR,2025-08-10,2025-10-16,67,218.37
CGH,SSA,2025-01-20,2025-03-08,47,390.28
NAT,GRU,2025-08-10,2025-10-13,64,605.39
FOR,REC,2025-05-11,2025-05-15,4,856.69
SSA,NAT,2024-10-01,2024-12-07,67,506.44
VCP,BEL,2025-05-26,2025-07-17,52,318.14
NAT,CGH,2025-04-05,2025-06-11,67,303.35
BEL,FLN,2024-12-30,2025-01-11,12,349.17
GRU,SDU,2025-05-03,2025-06-15,43,411.68
FOR,SSA,2025-04-03,2025-05-04,31,769.62
CGH,NAT,2024-10-05,2024-11-05,31,219.04
GRU,POA,2025-04-16,2025-06-13,58,656.92
BSB,FLN,2024-12-10,2025-01-13,34,310.51
VCP,CGH,2025-09-01,2025-10-08,37,243.35
CWB,REC,2025-02-27,2025-03-31,32,550.99
NAT,CGB,2025-07-14,2025-08-29,46,590.7
VCP,GRU,2025-06-14,2025-07-21,37,718.28
POA,BEL,2025-07-21,2025-08-06,16,850.19
NAT,FLN,2025-07-01,2025-09-11,72,291.18
REC,FLN,2025-06-26,2025-07-09,13,965.36
FLN,CWB,2025-03-16,2025-05-14,59,723.72
VCP,CWB,2024-09-15,2024-09-23,8,1060.23
VCP,CGH,2024-12-27,2025-02-08,43,186.94
CGH,SDU,2024-12-07,2025-02-18,73,490.93
SSA,NAT,2025-03-24,2025-05-18,55,314.08
FOR,REC,2025-05-14,2025-07-27,74,778.33
NAT,SSA,2025-06-19,2025-08-10,52,483.55
CGB,SSA,2025-03-20,2025-05-06,47,928.04
FLN,CGH,2025-01-15,2025-02-25,41,913.77
VCP,GIG,2024-12-27,2025-03-01,64,331.56
BEL,SDU,2025-08-31,2025-11-15,76,791.29
SDU,SSA,2024-11-25,2025-01-25,61,306.28
POA,GRU,2025-03-23,2025-04-27,35,551.25
CWB,BSB,2025-07-02,2025-07-31,29,941.5
BSB,POA,2025-05-18,2025-06-12,25,312.34
REC,FLN,2025-03-12,2025-05-07,56,893.38
NAT,BSB,2025-06-10,2025-07-24,44,940.26
CWB,REC,2024-12-05,2025-03-04,89,440.6
CGH,CWB,2024-10-21,2024-12-24,64,443.41
BSB,FLN,2025-05-27,2025-08-05,70,740.72
SDU,GIG,2025-03-30,2025-04-26,27,199.54
POA,GIG,2024-10-01,2024-12-18,78,665.33
FLN,SSA,2024-09-24,2024-12-16,83,1142.77
SSA,VCP,2025-05-29,2025-08-12,75,418.01
GRU,BEL,2025-05-16,2025-08-01,77,361.76
NAT,CGB,2025-08-06,2025-08-23,17,981.33
REC,GRU,2025-01-21,2025-04-15,84,578.8
GRU,GIG,2025-09-03,2025-11-19,77,682.68
POA,VCP,2024-10-12,2024-11-10,29,430.01
FLN,BSB,2025-06-13,2025-09-04,83,1138.92
CWB,CGB,2025-08-10,2025-10-11,62,518.29
POA,CWB,2025-08-29,2025-10-14,46,602.67
GIG,POA,2025-08-03,2025-08-08,5,1223.39
GRU,CGB,2024-10-09,2024-12-24,76,561.82
CWB,GRU,2024-11-08,2025-01-26,79,383.43
CGH,BSB,2025-08-15,2025-10-24,70,246.88
FOR,NAT,2025-09-02,2025-10-10,38,522.04
CGB,VCP,2025-05-08,2025-07-06,59,771.61
REC,GIG,2025-06-19,2025-07-28,39,562.51
FOR,CGH,2024-10-18,2024-11-07,20,618.22
POA,CGB,2025-05-01,2025-05-31,30,341.26
CGH,BSB,2025-01-28,2025-02-21,24,1003.96
CGB,VCP,2025-08-02,2025-08-11,9,910.3
SDU,BEL,2025-04-19,2025-06-12,54,728.45
GIG,NAT,2025-07-07,2025-08-05,29,497.2
CGB,VCP,2025-05-23,2025-06-15,23,467.2
GRU,SDU,2024-11-26,2025-01-04,39,530.45
BSB,CGH,2025-04-03,2025-04-30,27,432.2
FLN,REC,2025-04-10,2025-05-06,26,788.62
FLN,NAT,2025-07-03,2025-08-19,47,517.25
BSB,BEL,2025-03-29,2025-04-18,20,734.51
CGB,FOR,2024-10-19,2024-11-01,13,338.33
POA,CGB,2024-10-08,2024-12-10,63,675.74
NAT,CWB,2024-12-26,2025-02-14,50,1011.39
GIG,CWB,2025-01-16,2025-03-21,64,424.3
VCP,BSB,2025-04-12,2025-05-22,40,911.36
REC,VCP,2025-02-15,2025-04-14,58,486.25
BSB,SDU,2024-12-12,2025-03-08,86,902.27
FOR,CWB,2025-03-07,2025-04-06,30,859.12
POA,SSA,2024-11-19,2024-12-17,28,657.28
BSB,CWB,2025-08-14,2025-09-19,36,445.27
POA,BEL,2025-07-08,2025-09-25,79,930.7
BEL,CWB,2024-12-30,2025-03-30,90,843.78
CWB,FLN,2025-06-29,2025-08-29,61,810.5
NAT,BSB,2025-03-08,2025-05-17,70,820.91
REC,BSB,2025-02-15,2025-04-22,66,358.97
REC,FOR,2025-01-31,2025-03-04,32,850.5
BEL,REC,2025-03-23,2025-06-20,89,1162.01
SDU,SSA,2025-04-05,2025-06-26,82,453.93
BEL,FLN,2025-05-03,2025-05-15,12,733.34
CWB,GIG,2025-08-08,2025-09-07,30,496.11
CWB,SSA,2025-06-07,2025-09-03,88,360.55
CGB,FLN,2025-05-11,2025-05-23,12,948.65
CWB,GIG,2025-08-18,2025-10-06,49,684.08
CGH,REC,2024-10-20,2025-01-03,75,393.83
CGB,CWB,2024-12-23,2025-01-18,26,233.39
REC,GRU,2025-01-19,2025-04-06,77,770.46
BEL,FLN,2024-11-16,2025-01-15,60,717.13
SDU,CGB,2024-09-22,2024-11-18,57,278.42
CWB,GRU,2024-10-09,2024-12-29,81,292.67
FLN,BEL,2025-01-09,2025-01-10,1,419.53
GRU,SDU,2025-01-02,2025-01-28,26,991.29
GRU,BEL,2025-04-21,2025-06-04,44,811.65
GIG,GRU,2025-02-14,2025-05-07,82,793.25
SDU,SSA,2025-08-26,2025-09-06,11,444.31
VCP,GRU,2025-06-05,2025-07-17,42,715.07
CGB,VCP,2024-09-27,2024-10-11,14,547.57
BEL,GRU,2025-05-16,2025-07-12,57,376.97
BEL,FLN,2025-03-25,2025-05-01,37,422.08
SSA,BEL,2025-07-29,2025-08-12,14,795.96
FOR,SDU,2025-06-28,2025-08-01,34,783.31
POA,CGB,2025-02-20,2025-03-08,16,306.21
BSB,POA,2025-02-28,2025-04-20,51,943.69
FOR,SSA,2025-05-17,2025-06-24,38,1151.36
CWB,NAT,2024-11-14,2024-12-31,47,797.11
POA,GRU,2025-08-21,2025-10-08,48,774.35
GIG,VCP,2024-11-29,2024-12-16,17,759.31
CWB,GIG,2025-03-29,2025-05-23,55,805.11
NAT,SSA,2024-11-27,2024-12-28,31,548.17
BEL,SSA,2025-01-29,2025-03-07,37,243.77
SSA,VCP,2024-10-17,2024-10-20,3,1022.21
BEL,FLN,2024-12-05,2025-01-18,44,266.22
GIG,CGH,2025-02-28,2025-05-05,66,377.42
SDU,BEL,2025-08-13,2025-10-02,50,501.48
BEL,FOR,2025-06-28,2025-08-27,60,291.56
NAT,CGB,2025-02-23,2025-03-24,29,402.85
NAT,POA,2025-06-30,2025-07-14,14,792.38
BSB,CWB,2025-06-19,2025-06-23,4,707.06
GIG,BSB,2024-12-15,2025-01-19,35,280.62
CGH,FLN,2025-02-23,2025-04-04,40,209.22
FOR,CWB,2024-09-22,2024-11-05,44,933.31
SSA,POA,2024-10-07,2024-10-22,15,433.11
GIG,REC,2025-05-15,2025-05-28,13,728.92
REC,FLN,2024-11-16,2025-01-21,66,862.91
CGH,FLN,2025-03-20,2025-04-21,32,462.36
SSA,NAT,2025-06-09,2025-08-26,78,353.59
CGB,NAT,2024-09-07,2024-09-08,1,981.19
CWB,NAT,2025-01-24,2025-01-27,3,338.63
POA,FOR,2024-09-28,2024-10-23,25,379.39
FLN,CGB,2024-09-09,2024-10-25,46,476.83
GRU,CWB,2025-08-06,2025-08-09,3,862.81
FOR,BSB,2025-05-18,2025-08-05,79,1036.83
REC,CWB,2025-01-08,2025-01-20,12,711.79
POA,FLN,2025-03-28,2025-05-09,42,726.66
POA,CGB,2025-06-17,2025-07-20,33,341.45
SDU,REC,2025-05-20,2025-07-26,67,673.94
GRU,SSA,2024-12-17,2025-02-12,57,379.65
SDU,GRU,2024-09-13,2024-09-15,2,857.62
CGB,SSA,2025-02-16,2025-03-07,19,505.02
POA,BEL,2025-08-21,2025-08-29,8,902.22
VCP,CGB,2025-08-08,2025-09-23,46,1128.23
FLN,FOR,2025-03-05,2025-05-20,76,511.22
BSB,CGB,2024-09-21,2024-10-16,25,1018.85
CGB,GRU,2025-02-21,2025-04-17,55,383.18
POA,FOR,2024-12-19,2025-02-26,69,728.07
FLN,BSB,2025-04-14,2025-04-26,12,674.46
BSB,NAT,2024-10-11,2024-10-25,14,414.02
BEL,SSA,2024-11-16,2024-12-14,28,615.0
VCP,CGB,2025-01-22,2025-02-14,23,450.35
GIG,GRU,2025-01-12,2025-02-04,23,872.74
SSA,CGH,2024-10-01,2024-12-06,66,828.01
BSB,GIG,2025-08-03,2025-10-07,65,609.26
CGH,GRU,2024-09-11,2024-09-23,12,942.89
FOR,FLN,2024-11-19,2025-02-12,85,551.08
CGB,REC,2024-12-26,2025-03-18,82,830.65
GIG,BEL,2025-03-29,2025-04-03,5,304.52
NAT,SSA,2025-08-05,2025-10-30,86,759.81
CGH,FOR,2024-12-30,2025-03-25,85,622.3
FOR,BEL,2024-12-13,2025-01-16,34,192.95
REC,SDU,2025-06-18,2025-07-21,33,676.55
FLN,SSA,2025-06-13,2025-08-09,57,555.0
SSA,GIG,2024-10-23,2024-11-05,13,643.47
NAT,CGB,2025-07-29,2025-10-01,64,445.86
FLN,FOR,2025-02-21,2025-03-19,26,1079.68
SSA,BSB,2025-08-31,2025-11-25,86,257.4
REC,SSA,2025-02-21,2025-05-05,73,479.44
FLN,NAT,2025-08-20,2025-10-01,42,634.75
VCP,CWB,2024-11-14,2024-11-18,4,945.13
SSA,FOR,2024-11-27,2024-12-16,19,820.71
NAT,CWB,2025-06-10,2025-06-27,17,934.42
SSA,NAT,2024-11-25,2025-01-15,51,677.18
SSA,SDU,2025-03-29,2025-06-22,85,555.07
BSB,CGH,2024-10-25,2024-11-16,22,522.37
FLN,CWB,2024-11-10,2025-01-16,67,425.31
SSA,FLN,2024-09-22,2024-11-03,42,513.3
REC,BEL,2025-02-18,2025-04-17,58,649.34
POA,CWB,2024-10-27,2025-01-20,85,749.09
REC,BSB,2024-11-08,2024-12-16,38,500.51
FOR,CGH,2025-08-10,2025-08-30,20,594.76
BEL,SSA,2024-11-10,2025-01-13,64,251.16
CGB,SDU,2025-05-14,2025-07-28,75,743.56
POA,CGH,2025-01-26,2025-01-27,1,1376.63
VCP,CWB,2025-04-07,2025-04-22,15,734.68
SSA,NAT,2025-01-17,2025-03-16,58,596.65
GIG,SDU,2025-07-03,2025-08-25,53,743.54
REC,CGH,2025-07-01,2025-09-10,71,858.79
NAT,SSA,2025-02-03,2025-02-18,15,551.74
FOR,VCP,2024-11-11,2024-11-12,1,669.74
BSB,SSA,2024-11-03,2024-12-02,29,465.96
BSB,REC,2025-03-11,2025-05-20,70,364.88
REC,CWB,2024-09-09,2024-09-13,4,1204.29
FLN,BSB,2025-02-05,2025-02-17,12,844.53
FOR,BEL,2024-10-27,2024-12-19,53,641.84
REC,BSB,2025-05-23,2025-08-07,76,904.54
SDU,NAT,2025-06-28,2025-09-08,72,1028.4
SDU,REC,2025-08-16,2025-08-21,5,488.64
BEL,SSA,2025-07-30,2025-09-29,61,722.68
BSB,CGB,2025-04-06,2025-06-18,73,190.02
CGH,GIG,2025-05-22,2025-06-27,36,613.03
SDU,CWB,2024-12-13,2025-02-01,50,597.58
FLN,SDU,2024-11-26,2024-11-29,3,870.17
GIG,FOR,2025-03-23,2025-06-02,71,716.73
REC,FOR,2024-12-22,2025-03-20,88,301.38
POA,NAT,2025-08-08,2025-08-11,3,641.43
CGH,BSB,2025-02-11,2025-03-29,46,982.81
BSB,POA,2025-01-28,2025-04-18,80,759.75
VCP,REC,2025-06-06,2025-08-26,81,267.62
FOR,CWB,2025-07-16,2025-09-01,47,381.65
GRU,SDU,2025-02-12,2025-03-20,36,762.5
CGH,SDU,2024-11-22,2025-02-15,85,875.56
REC,NAT,2024-10-10,2024-12-05,56,695.02
GRU,SDU,2025-03-14,2025-03-26,12,613.46
BSB,SSA,2024-11-07,2024-11-21,14,301.65
BSB,BEL,2025-01-15,2025-03-29,73,252.9
SDU,VCP,2024-11-29,2024-12-01,2,1250.95
CGH,NAT,2024-10-11,2024-11-18,38,1154.87
GIG,BEL,2025-05-09,2025-07-26,78,594.12
SSA,GRU,2025-07-14,2025-08-28,45,722.21
CWB,FOR,2025-07-07,2025-07-27,20,301.33
GRU,REC,2025-03-24,2025-04-08,15,338.56
BEL,BSB,2025-04-05,2025-04-12,7,740.04
FOR,GIG,2025-06-01,2025-07-12,41,388.41
NAT,CWB,2024-09-12,2024-10-25,43,519.99
GIG,CGB,2024-12-22,2024-12-26,4,531.29
GRU,BEL,2025-05-26,2025-07-08,43,861.43
NAT,VCP,2024-11-27,2024-12-09,12,1192.96
NAT,POA,2025-03-09,2025-04-22,44,707.39
POA,GRU,2024-10-06,2025-01-01,87,245.48
FOR,FLN,2025-04-08,2025-05-31,53,476.83
VCP,SSA,2024-10-10,2024-10-12,2,378.35
POA,CWB,2025-07-04,2025-07-15,11,710.95
CWB,REC,2025-01-25,2025-03-19,53,959.07
FLN,CWB,2025-04-15,2025-06-14,60,786.63
CWB,VCP,2024-12-16,2025-01-05,20,799.11
GRU,FOR,2025-03-22,2025-04-04,13,754.11
GIG,VCP,2025-03-01,2025-03-16,15,532.47
GRU,GIG,2024-09-18,2024-11-26,69,500.31
VCP,SSA,2025-07-22,2025-10-02,72,573.62
FOR,CWB,2025-08-29,2025-09-19,21,623.12
BSB,CWB,2024-12-28,2025-03-27,89,615.93
FOR,GRU,2025-08-05,2025-08-23,18,805.08
CGH,NAT,2025-06-18,2025-07-30,42,790.7
FLN,BSB,2025-03-04,2025-04-19,46,252.92
CWB,FOR,2025-08-12,2025-10-18,67,761.16
GIG,FLN,2024-11-10,2024-12-24,44,470.84
SDU,BEL,2025-07-19,2025-10-03,76,579.86
CWB,BEL,2025-01-03,2025-01-06,3,731.93
CWB,GRU,2025-04-02,2025-04-15,13,538.3
SDU,VCP,2025-07-26,2025-09-15,51,258.82
BSB,FLN,2024-09-29,2024-11-05,37,608.79
CWB,CGH,2024-10-21,2024-12-25,65,577.8
SDU,NAT,2025-01-23,2025-02-01,9,681.58
NAT,FLN,2024-12-27,2025-01-09,13,389.14
NAT,CGH,2025-03-30,2025-05-24,55,488.71
SDU,FOR,2025-05-27,2025-08-19,84,612.28
GIG,BEL,2025-08-25,2025-10-04,40,921.42
POA,CWB,2025-03-20,2025-06-13,85,528.95
CGH,SDU,2024-09-23,2024-11-04,42,802.63
CGB,GIG,2024-12-10,2025-01-01,22,257.85
POA,GRU,2025-01-16,2025-03-26,69,536.95
FOR,GRU,2025-06-14,2025-08-09,56,166.31
FLN,GRU,2024-12-03,2025-02-24,83,762.47
CGB,CWB,2025-03-16,2025-04-23,38,538.27
BEL,REC,2025-02-20,2025-05-14,83,409.44
GIG,FOR,2025-05-17,2025-08-11,86,646.55
POA,BEL,2025-01-26,2025-03-16,49,802.13
CGB,VCP,2025-04-30,2025-05-15,15,572.74
FLN,BEL,2025-05-25,2025-05-26,1,989.83
BEL,FLN,2024-12-20,2025-01-17,28,796.18
FOR,BEL,2025-08-01,2025-09-20,50,378.26
GRU,CGB,2025-03-11,2025-05-12,62,200.89
BSB,REC,2024-10-03,2024-11-28,56,921.28
CWB,POA,2024-09-22,2024-09-30,8,763.25
REC,GRU,2024-11-14,2024-11-30,16,538.67
GIG,BSB,2024-09-23,2024-10-31,38,435.27
BEL,SSA,2024-09-30,2024-10-04,4,722.51
SDU,BSB,2025-08-16,2025-09-05,20,716.02
GIG,SSA,2025-06-30,2025-07-05,5,1098.91
BEL,CGH,2025-02-01,2025-03-27,54,969.48
BSB,FOR,2025-03-22,2025-03-25,3,567.44
SDU,GIG,2025-03-22,2025-03-28,6,853.54
BEL,POA,2024-10-09,2024-10-21,12,290.93
GRU,POA,2024-12-08,2025-01-20,43,852.26
CWB,FLN,2025-08-05,2025-09-24,50,390.1
BSB,NAT,2025-06-05,2025-07-03,28,914.33
GIG,BSB,2025-07-03,2025-07-12,9,673.73
GRU,CWB,2024-12-30,2025-02-27,59,545.96
GRU,FLN,2025-07-12,2025-08-26,45,259.33
FOR,REC,2025-04-13,2025-06-27,75,507.92
POA,CGH,2024-09-26,2024-11-21,56,565.33
FLN,CGH,2024-12-01,2025-02-04,65,411.62
POA,CGH,2024-09-11,2024-09-29,18,823.08
SDU,BSB,2025-05-21,2025-07-17,57,428.5
FOR,SSA,2025-07-18,2025-09-19,63,1078.35
FLN,GIG,2025-08-28,2025-09-14,17,864.41
GIG,NAT,2025-01-21,2025-01-27,6,913.26
BSB,VCP,2024-10-07,2024-11-22,46,766.31
GRU,VCP,2025-02-09,2025-03-29,48,398.26
VCP,BEL,2024-11-02,2025-01-24,83,396.44
SSA,CWB,2024-10-01,2024-11-19,49,1043.86
CGH,CWB,2024-11-26,2024-12-11,15,661.6
FOR,NAT,2025-08-10,2025-10-10,61,281.17
SSA,CGH,2024-10-21,2024-12-13,53,488.88
FOR,CGH,2025-06-24,2025-09-14,82,438.77
SSA,GIG,2024-10-24,2024-11-02,9,354.33
BEL,REC,2024-11-08,2025-01-08,61,611.38
REC,SDU,2025-07-16,2025-07-26,10,720.33
CWB,FOR,2025-08-29,2025-11-21,84,731.52
BSB,VCP,2025-03-27,2025-04-20,24,291.22
CWB,SSA,2025-03-29,2025-06-01,64,480.69
NAT,REC,2025-02-05,2025-03-13,36,484.04
SSA,SDU,2025-04-20,2025-05-04,14,468.76
BSB,REC,2024-11-14,2025-02-01,79,250.9
GIG,BSB,2025-09-03,2025-09-16,13,638.7
CGH,CGB,2025-07-28,2025-07-29,1,1469.23
REC,BSB,2024-09-15,2024-12-01,77,245.23
GRU,VCP,2025-01-17,2025-01-19,2,669.36
SDU,GIG,2025-06-23,2025-09-05,74,504.78
REC,BSB,2024-10-21,2024-10-28,7,271.27
CWB,GRU,2025-03-17,2025-06-11,86,1010.79
FOR,POA,2025-04-25,2025-05-02,7,602.05
SSA,VCP,2025-06-01,2025-06-06,5,827.82
NAT,FOR,2024-11-26,2025-02-17,83,1048.32
FLN,SDU,2024-10-04,2024-11-11,38,563.36
CWB,CGB,2025-03-07,2025-05-11,65,261.73
REC,GRU,2025-08-25,2025-10-03,39,781.34
REC,POA,2024-12-03,2025-01-03,31,440.08
GIG,REC,2025-02-05,2025-04-09,63,870.22
GIG,BSB,2025-05-09,2025-07-25,77,873.38
CWB,VCP,2025-04-20,2025-05-14,24,357.11
BEL,SSA,2024-11-30,2024-12-08,8,1192.29
FLN,GIG,2025-01-05,2025-01-13,8,370.78
GIG,REC,2024-10-27,2024-11-02,6,643.23
CGB,VCP,2025-07-23,2025-09-24,63,815.72
BEL,VCP,2024-12-13,2025-01-16,34,746.46
NAT,VCP,2025-09-01,2025-11-11,71,483.12
CGB,SDU,2024-10-12,2024-12-30,79,901.15
CGH,FLN,2025-02-17,2025-03-31,42,306.5
GIG,POA,2025-03-21,2025-04-22,32,561.27
REC,FOR,2025-08-23,2025-11-10,79,790.15
CGB,POA,2025-04-24,2025-05-21,27,1057.02
FLN,NAT,2025-01-17,2025-03-11,53,646.75
GRU,SSA,2025-07-04,2025-09-08,66,822.34
VCP,SDU,2025-07-28,2025-09-30,64,546.14
BSB,GIG,2025-02-20,2025-03-26,34,293.17
POA,FOR,2024-10-21,2024-11-07,17,1039.97
CGH,NAT,2024-11-18,2025-01-17,60,397.2
VCP,FOR,2025-09-01,2025-11-09,69,856.75
POA,SSA,2025-05-25,2025-06-06,12,606.02
VCP,FOR,2024-10-02,2024-12-31,90,705.43
FLN,SDU,2025-02-24,2025-03-22,26,686.64
SSA,CWB,2025-02-12,2025-03-17,33,532.49
CGH,BSB,2024-10-22,2024-11-24,33,359.06
CGB,BEL,2024-09-26,2024-11-24,59,374.31
SDU,REC,2024-09-23,2024-09-24,1,638.76
